"Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
"Frequency: Quarterly"
"Table: 36-10-0104-01 (formerly CANSIM 380-0064)"
"Release date: 2023-09-01"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Final consumption expenditure","658,323","657,303","656,993","658,411","649,659","647,902","647,861","646,843","649,730","658,714","666,215","671,440","675,861","680,933","683,788","694,784","704,209","710,527","718,450","728,899","728,446","732,977","742,339","741,533","748,217","758,466","761,500","770,681","776,933","786,820","791,323","798,824","803,854","814,573","815,611","819,105","832,886","823,523","829,071","829,875","816,927","831,142","829,116","834,445","835,026","836,066","839,140","845,308","846,058","849,308","850,339","851,661","857,884","861,942","864,864","870,778","870,267","874,333","879,218","877,213","886,078","887,290","886,329","897,631","910,899","914,847","924,196","928,854","935,702","941,611","946,486","947,892","960,876","969,659","982,490","989,857","1,000,622","1,009,895","1,020,682","1,023,987","1,033,309","1,038,070","1,040,941","1,050,801","1,064,473","1,075,690","1,080,134","1,090,179","1,096,923","1,104,771","1,112,644","1,115,942","1,128,298","1,131,448","1,141,823","1,150,460","1,160,909","1,169,485","1,177,147","1,188,951","1,202,502","1,213,737","1,224,237","1,235,372","1,243,787","1,259,029","1,272,261","1,289,759","1,300,854","1,310,237","1,311,008","1,304,807","1,301,677","1,311,681","1,322,695","1,331,647","1,345,683","1,353,657","1,362,887","1,374,952","1,377,445","1,383,447","1,389,429","1,396,291","1,402,483","1,402,851","1,411,453","1,416,718","1,419,536","1,427,288","1,436,512","1,445,150","1,449,264","1,457,471","1,465,610","1,472,490","1,479,639","1,485,881","1,496,399","1,503,684","1,508,398","1,517,920","1,525,435","1,534,207","1,550,415","1,565,408","1,578,875","1,589,953","1,602,008","1,612,596","1,620,793","1,623,998","1,628,150","1,629,833","1,638,891","1,651,833","1,624,888","1,444,777","1,597,839","1,610,203","1,624,927","1,623,089","1,680,135","1,687,843","1,697,545","1,720,778","1,727,406","1,733,537","1,743,976","1,748,253"
"Household final consumption expenditure","430,710","430,309","428,039","429,061","422,690","419,347","417,718","416,226","422,142","427,407","432,555","437,255","441,559","446,141","446,624","454,380","459,695","463,876","473,078","477,946","477,242","482,968","489,669","489,913","494,896","502,956","507,406","512,895","516,028","523,449","526,742","533,377","537,195","544,116","542,312","545,852","554,046","547,349","547,376","545,467","534,089","543,037","542,556","545,614","545,600","547,725","550,621","552,618","555,603","557,725","561,534","563,122","572,744","573,588","576,082","582,772","582,490","586,815","593,048","593,009","600,893","601,632","603,551","613,979","623,617","628,444","636,756","641,220","641,880","650,067","653,632","655,070","664,192","670,392","678,376","684,957","692,463","698,483","707,365","708,579","714,392","715,537","717,183","725,892","736,646","745,602","747,115","754,630","758,664","765,296","772,438","773,882","784,209","788,114","795,440","801,861","813,035","820,058","825,517","833,352","845,036","852,667","862,048","870,951","878,693","891,981","900,362","916,872","924,095","925,145","925,694","914,495","911,646","919,610","929,661","936,029","946,496","954,546","962,245","970,991","972,728","977,054","981,039","987,066","992,771","993,919","1,000,006","1,005,516","1,011,863","1,021,213","1,028,792","1,035,215","1,038,695","1,048,213","1,055,843","1,063,496","1,065,536","1,070,760","1,078,753","1,086,341","1,086,985","1,091,277","1,098,903","1,107,216","1,119,347","1,134,136","1,144,486","1,151,676","1,159,463","1,165,460","1,172,344","1,172,238","1,178,479","1,180,682","1,185,807","1,193,992","1,166,621","1,003,000","1,133,590","1,136,735","1,142,579","1,136,728","1,191,441","1,195,266","1,201,060","1,227,276","1,228,166","1,231,439","1,245,808","1,246,449"
"Non-profit institutions serving households' final consumption expenditure","8,660","8,479","8,314","8,157","7,859","7,718","7,749","7,757","7,749","7,615","7,600","7,608","7,129","7,223","7,262","7,411","7,953","8,039","7,843","7,977","8,117","7,965","8,090","7,883","7,616","7,665","7,523","8,014","8,286","8,276","8,286","8,581","8,690","8,919","9,126","9,181","9,666","10,058","10,309","10,418","10,669","10,881","11,105","11,274","11,450","11,633","11,715","11,786","11,806","11,771","11,715","11,588","11,359","11,420","11,486","11,654","11,715","11,944","12,244","12,482","12,869","13,296","13,967","14,832","16,092","16,781","16,892","16,898","16,641","16,425","16,641","17,213","17,949","18,696","19,245","19,374","19,385","19,520","19,852","20,331","20,168","20,384","20,798","21,248","21,873","22,719","22,846","22,937","22,304","22,235","21,926","21,389","21,145","20,778","21,150","21,538","22,081","22,362","22,692","23,043","23,351","23,426","23,298","23,325","22,555","22,739","22,868","23,424","24,169","25,055","25,389","25,462","25,167","24,349","23,343","22,915","23,133","23,429","23,608","24,302","24,743","24,983","25,316","25,308","25,284","25,541","25,681","25,706","26,264","26,428","26,176","26,040","25,568","25,760","26,132","26,588","26,400","27,044","27,332","28,168","29,000","30,024","30,036","29,688","29,652","29,644","29,900","29,996","30,224","30,688","30,548","30,844","31,016","31,140","31,692","32,372","32,640","30,220","31,472","32,464","31,672","31,752","32,400","33,052","33,348","33,828","34,072","34,216","34,984","35,652"
"General governments final consumption expenditure","226,086","225,644","228,400","229,023","227,096","229,417","231,372","232,030","228,008","232,247","234,691","234,951","235,525","235,617","238,350","241,401","245,043","247,146","245,224","251,311","251,448","249,805","252,281","251,338","253,441","255,383","253,618","256,790","259,827","262,243","263,429","263,507","264,498","268,144","271,279","270,901","276,173","272,898","278,930","282,035","280,573","285,842","283,773","285,992","286,448","284,842","284,780","289,354","286,590","287,809","284,483","284,253","280,111","283,659","283,926","282,456","282,129","281,299","279,023","276,474","276,675","276,650","272,432","271,820","274,021","271,988","272,550","272,490","279,818","276,951","278,004","277,260","280,344","282,139","286,621","286,996","290,253","293,451","294,821","296,621","300,418","304,199","305,065","305,484","307,604","308,862","311,908","314,277","317,724","318,851","319,677","322,190","324,271","323,685","326,346","328,112","326,357","327,512","329,367","333,031","334,368","337,932","339,026","341,158","342,521","344,123","348,920","349,041","352,166","359,854","359,725","364,937","364,979","367,834","369,790","372,821","376,161","375,733","377,064","379,675","379,986","381,420","383,086","383,925","384,431","383,387","385,762","385,500","381,463","379,767","381,670","384,018","385,121","383,683","383,860","382,696","387,912","388,318","390,569","389,488","392,681","396,863","396,786","397,626","401,743","402,064","404,948","408,714","412,730","416,819","418,296","421,250","419,086","418,474","421,814","425,861","425,704","409,343","432,037","439,951","449,278","452,926","455,362","458,519","462,068","459,111","464,446","467,115","462,718","465,615"




"How to cite: Statistics Canada. Table 36-10-0104-01  Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610010401